#Device,LCX200,,,,,,,,
#Device Name,RS-LCX200-02169.local,,,,,,,,
#Format,LOG,,,,,,,,
#Date,3/10/2025,,,,,,,,
#Version,02.036 001FCD160E,,,,,,,,
#Serial No.,102169,,,,,,,,
#Logging Interval[s],0,,,,,,,,
#Mode,Unlimited,,,,,,,,
#Start Time,15:22:28,,,,,,,,
#Stop Time,15:23:49,,,,,,,,
#Actual Count,200,,,,,,,,
Timestamp,Ls[H],Q,Z[Ohm],Θd[°],IBias[A],Bias Enable,Ext. Voltage Enable,Voltage[V],Frequency[Hz]
22:30.6,#NAME?,4.31E-02,1.01E-02,-2.47E+00,0.00E+00,FALSE,FALSE,2.00E+00,4.00E+00
22:31.4,#NAME?,#NAME?,9.70E-03,-7.46E-02,0.00E+00,FALSE,FALSE,2.00E+00,1.40E+01
22:31.9,1.16E-06,1.81E-02,9.66E-03,1.04E+00,0.00E+00,FALSE,FALSE,2.00E+00,2.41E+01
22:32.4,1.48E-06,3.27E-02,9.69E-03,1.87E+00,0.00E+00,FALSE,FALSE,2.00E+00,3.41E+01
22:32.9,1.47E-06,4.20E-02,9.73E-03,2.40E+00,0.00E+00,FALSE,FALSE,2.00E+00,4.41E+01
22:33.3,2.38E-06,8.35E-02,9.72E-03,4.77E+00,0.00E+00,FALSE,FALSE,2.00E+00,5.42E+01
22:33.7,2.36E-06,9.80E-02,9.74E-03,5.60E+00,0.00E+00,FALSE,FALSE,2.00E+00,6.42E+01
22:34.2,2.23E-06,1.07E-01,9.74E-03,6.11E+00,0.00E+00,FALSE,FALSE,2.00E+00,7.42E+01
22:34.6,1.73E-06,9.41E-02,9.78E-03,5.38E+00,0.00E+00,FALSE,FALSE,2.00E+00,8.42E+01
22:35.0,1.95E-06,1.19E-01,9.78E-03,6.78E+00,0.00E+00,FALSE,FALSE,2.00E+00,9.43E+01
22:35.4,2.25E-06,1.51E-01,9.87E-03,8.59E+00,0.00E+00,FALSE,FALSE,2.00E+00,1.04E+02
22:35.8,2.32E-06,1.71E-01,9.91E-03,9.68E+00,0.00E+00,FALSE,FALSE,2.00E+00,1.14E+02
22:36.2,2.85E-06,2.28E-01,1.00E-02,1.28E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.24E+02
22:36.7,2.49E-06,2.13E-01,1.01E-02,1.20E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.34E+02
22:37.1,2.55E-06,2.32E-01,1.02E-02,1.30E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.44E+02
22:37.5,2.59E-06,2.49E-01,1.04E-02,1.40E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.54E+02
22:37.9,2.96E-06,2.93E-01,1.09E-02,1.63E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.64E+02
22:38.4,2.67E-06,2.55E-01,1.18E-02,1.43E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.75E+02
22:38.8,1.07E-06,1.07E-01,1.17E-02,6.13E+00,0.00E+00,FALSE,FALSE,2.00E+00,1.85E+02
22:39.2,1.01E-06,1.20E-01,1.04E-02,6.84E+00,0.00E+00,FALSE,FALSE,2.00E+00,1.95E+02
22:39.6,1.37E-06,1.78E-01,1.01E-02,1.01E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.05E+02
22:40.1,1.57E-06,2.17E-01,1.00E-02,1.22E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.15E+02
22:40.5,1.66E-06,2.38E-01,1.01E-02,1.34E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.25E+02
22:40.8,1.74E-06,2.61E-01,1.01E-02,1.47E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.35E+02
22:41.2,2.12E-06,3.32E-01,1.04E-02,1.84E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.45E+02
22:41.7,1.86E-06,3.03E-01,1.03E-02,1.68E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.55E+02
22:42.1,1.85E-06,3.13E-01,1.03E-02,1.74E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.65E+02
22:42.5,1.88E-06,3.30E-01,1.04E-02,1.83E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.75E+02
22:42.9,1.89E-06,3.42E-01,1.05E-02,1.89E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.85E+02
22:43.3,1.90E-06,3.55E-01,1.05E-02,1.95E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.95E+02
22:43.8,1.92E-06,3.72E-01,1.06E-02,2.04E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.05E+02
22:44.2,1.92E-06,3.83E-01,1.06E-02,2.10E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.15E+02
22:44.6,1.75E-06,3.57E-01,1.06E-02,1.96E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.25E+02
22:45.0,1.88E-06,3.97E-01,1.07E-02,2.16E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.35E+02
22:45.5,1.90E-06,4.11E-01,1.08E-02,2.24E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.45E+02
22:45.9,1.93E-06,4.29E-01,1.09E-02,2.32E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.55E+02
22:46.3,1.93E-06,4.42E-01,1.10E-02,2.38E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.65E+02
22:46.7,1.94E-06,4.55E-01,1.10E-02,2.45E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.75E+02
22:47.1,1.91E-06,4.56E-01,1.11E-02,2.45E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.85E+02
22:47.5,1.90E-06,4.68E-01,1.11E-02,2.51E+01,0.00E+00,FALSE,FALSE,2.00E+00,3.95E+02
22:47.9,1.95E-06,4.90E-01,1.13E-02,2.61E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.05E+02
22:48.3,1.90E-06,4.91E-01,1.13E-02,2.61E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.15E+02
22:48.6,1.91E-06,5.03E-01,1.14E-02,2.67E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.25E+02
22:49.1,1.95E-06,5.24E-01,1.15E-02,2.77E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.35E+02
22:49.5,1.88E-06,5.15E-01,1.15E-02,2.72E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.45E+02
22:49.9,1.92E-06,5.39E-01,1.16E-02,2.83E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.55E+02
22:50.3,1.91E-06,5.47E-01,1.17E-02,2.87E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.65E+02
22:50.8,1.90E-06,5.54E-01,1.17E-02,2.90E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.75E+02
22:51.2,1.91E-06,5.66E-01,1.18E-02,2.95E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.85E+02
22:51.6,1.90E-06,5.73E-01,1.19E-02,2.98E+01,0.00E+00,FALSE,FALSE,2.00E+00,4.95E+02
22:52.0,1.89E-06,5.83E-01,1.19E-02,3.02E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.06E+02
22:52.4,1.89E-06,5.94E-01,1.20E-02,3.07E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.16E+02
22:52.9,1.89E-06,6.02E-01,1.21E-02,3.11E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.26E+02
22:53.3,1.90E-06,6.15E-01,1.22E-02,3.16E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.36E+02
22:53.7,1.88E-06,6.22E-01,1.22E-02,3.19E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.46E+02
22:54.1,1.88E-06,6.31E-01,1.23E-02,3.23E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.56E+02
22:54.5,1.88E-06,6.38E-01,1.24E-02,3.25E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.66E+02
22:55.0,1.88E-06,6.52E-01,1.25E-02,3.31E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.76E+02
22:55.4,1.88E-06,6.62E-01,1.25E-02,3.35E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.86E+02
22:55.8,1.87E-06,6.68E-01,1.26E-02,3.37E+01,0.00E+00,FALSE,FALSE,2.00E+00,5.96E+02
22:56.2,1.87E-06,6.77E-01,1.27E-02,3.41E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.06E+02
22:56.6,1.86E-06,6.83E-01,1.28E-02,3.43E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.16E+02
22:57.0,1.86E-06,6.95E-01,1.28E-02,3.48E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.26E+02
22:57.4,1.86E-06,7.03E-01,1.29E-02,3.51E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.36E+02
22:57.7,1.84E-06,7.08E-01,1.29E-02,3.53E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.46E+02
22:58.1,1.85E-06,7.21E-01,1.30E-02,3.58E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.56E+02
22:58.5,1.84E-06,7.26E-01,1.31E-02,3.60E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.66E+02
22:59.0,1.85E-06,7.40E-01,1.32E-02,3.65E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.76E+02
22:59.4,1.84E-06,7.49E-01,1.33E-02,3.68E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.86E+02
22:59.7,1.83E-06,7.52E-01,1.34E-02,3.69E+01,0.00E+00,FALSE,FALSE,2.00E+00,6.96E+02
23:00.0,1.83E-06,7.59E-01,1.34E-02,3.72E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.06E+02
23:00.4,1.83E-06,7.72E-01,1.35E-02,3.77E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.16E+02
23:00.9,1.84E-06,7.84E-01,1.36E-02,3.81E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.26E+02
23:01.3,1.82E-06,7.86E-01,1.36E-02,3.82E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.36E+02
23:01.7,1.84E-06,8.02E-01,1.38E-02,3.87E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.46E+02
23:02.1,1.80E-06,7.91E-01,1.37E-02,3.83E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.56E+02
23:02.5,1.82E-06,8.14E-01,1.39E-02,3.91E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.66E+02
23:03.0,1.81E-06,8.20E-01,1.39E-02,3.93E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.76E+02
23:03.4,1.82E-06,8.30E-01,1.41E-02,3.97E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.86E+02
23:03.7,1.81E-06,8.41E-01,1.41E-02,4.01E+01,0.00E+00,FALSE,FALSE,2.00E+00,7.96E+02
23:04.0,1.81E-06,8.48E-01,1.42E-02,4.03E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.06E+02
23:04.5,1.79E-06,8.49E-01,1.42E-02,4.03E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.16E+02
23:04.9,1.80E-06,8.63E-01,1.43E-02,4.08E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.26E+02
23:05.3,1.80E-06,8.72E-01,1.44E-02,4.11E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.37E+02
23:05.7,1.81E-06,8.85E-01,1.45E-02,4.15E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.47E+02
23:06.1,1.79E-06,8.87E-01,1.45E-02,4.16E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.57E+02
23:06.6,1.78E-06,8.87E-01,1.46E-02,4.16E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.67E+02
23:07.0,1.79E-06,9.04E-01,1.47E-02,4.21E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.77E+02
23:07.4,1.78E-06,9.08E-01,1.47E-02,4.22E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.87E+02
23:07.7,1.78E-06,9.17E-01,1.48E-02,4.25E+01,0.00E+00,FALSE,FALSE,2.00E+00,8.97E+02
23:08.1,1.78E-06,9.29E-01,1.49E-02,4.29E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.07E+02
23:08.6,1.78E-06,9.35E-01,1.50E-02,4.31E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.17E+02
23:09.0,1.77E-06,9.41E-01,1.51E-02,4.32E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.27E+02
23:09.4,1.77E-06,9.49E-01,1.51E-02,4.35E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.37E+02
23:09.7,1.77E-06,9.58E-01,1.52E-02,4.38E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.47E+02
23:10.2,1.77E-06,9.65E-01,1.53E-02,4.40E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.57E+02
23:10.6,1.76E-06,9.72E-01,1.54E-02,4.42E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.67E+02
23:11.0,1.76E-06,9.82E-01,1.54E-02,4.45E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.77E+02
23:11.4,1.77E-06,9.91E-01,1.55E-02,4.48E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.87E+02
23:11.7,1.76E-06,9.98E-01,1.56E-02,4.49E+01,0.00E+00,FALSE,FALSE,2.00E+00,9.97E+02
23:12.2,1.87E-06,1.07E+00,1.62E-02,4.69E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.01E+03
23:12.6,1.85E-06,1.06E+00,1.62E-02,4.68E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.02E+03
23:13.0,1.83E-06,1.07E+00,1.62E-02,4.69E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.03E+03
23:13.4,1.81E-06,1.06E+00,1.62E-02,4.66E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.04E+03
23:13.9,1.79E-06,1.06E+00,1.61E-02,4.68E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.05E+03
23:14.3,1.77E-06,1.06E+00,1.62E-02,4.67E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.06E+03
23:14.7,1.75E-06,1.06E+00,1.61E-02,4.67E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.07E+03
23:15.1,1.74E-06,1.06E+00,1.62E-02,4.67E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.08E+03
23:15.4,1.74E-06,1.07E+00,1.62E-02,4.69E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.09E+03
23:15.9,1.72E-06,1.07E+00,1.62E-02,4.69E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.10E+03
23:16.3,1.72E-06,1.08E+00,1.63E-02,4.73E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.11E+03
23:16.7,1.71E-06,1.08E+00,1.63E-02,4.72E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.12E+03
23:17.1,1.72E-06,1.10E+00,1.65E-02,4.78E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.13E+03
23:17.5,1.73E-06,1.11E+00,1.67E-02,4.81E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.14E+03
23:17.9,1.72E-06,1.12E+00,1.66E-02,4.81E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.15E+03
23:18.3,1.73E-06,1.14E+00,1.68E-02,4.87E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.16E+03
23:18.6,1.72E-06,1.14E+00,1.69E-02,4.86E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.17E+03
23:19.0,1.72E-06,1.15E+00,1.69E-02,4.89E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.18E+03
23:19.4,1.72E-06,1.15E+00,1.71E-02,4.89E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.19E+03
23:19.7,1.72E-06,1.16E+00,1.71E-02,4.92E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.20E+03
23:20.1,1.72E-06,1.17E+00,1.72E-02,4.94E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.21E+03
23:20.5,1.73E-06,1.19E+00,1.73E-02,4.99E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.22E+03
23:20.9,1.72E-06,1.19E+00,1.73E-02,5.01E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.23E+03
23:21.4,1.72E-06,1.19E+00,1.75E-02,4.99E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.24E+03
23:21.8,1.72E-06,1.20E+00,1.75E-02,5.03E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.25E+03
23:22.2,1.72E-06,1.22E+00,1.76E-02,5.06E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.26E+03
23:22.6,1.72E-06,1.22E+00,1.77E-02,5.07E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.27E+03
23:22.9,1.72E-06,1.22E+00,1.78E-02,5.06E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.28E+03
23:23.2,1.72E-06,1.23E+00,1.80E-02,5.09E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.29E+03
23:23.6,1.71E-06,1.24E+00,1.80E-02,5.10E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.30E+03
23:24.0,1.71E-06,1.24E+00,1.80E-02,5.12E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.31E+03
23:24.5,1.71E-06,1.25E+00,1.81E-02,5.15E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.32E+03
23:24.9,1.71E-06,1.26E+00,1.82E-02,5.16E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.33E+03
23:25.3,1.71E-06,1.27E+00,1.83E-02,5.17E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.34E+03
23:25.7,1.70E-06,1.27E+00,1.83E-02,5.18E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.35E+03
23:26.1,1.71E-06,1.29E+00,1.84E-02,5.23E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.36E+03
23:26.5,1.71E-06,1.29E+00,1.86E-02,5.22E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.37E+03
23:26.9,1.71E-06,1.30E+00,1.87E-02,5.24E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.38E+03
23:27.2,1.69E-06,1.30E+00,1.87E-02,5.24E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.39E+03
23:27.6,1.70E-06,1.30E+00,1.88E-02,5.25E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.40E+03
23:28.0,1.70E-06,1.32E+00,1.89E-02,5.28E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.41E+03
23:28.4,1.71E-06,1.33E+00,1.90E-02,5.30E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.42E+03
23:28.8,1.69E-06,1.33E+00,1.90E-02,5.30E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.43E+03
23:29.2,1.70E-06,1.34E+00,1.92E-02,5.34E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.44E+03
23:29.6,1.69E-06,1.34E+00,1.92E-02,5.33E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.45E+03
23:30.0,1.70E-06,1.35E+00,1.94E-02,5.34E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.46E+03
23:30.4,1.69E-06,1.35E+00,1.94E-02,5.35E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.47E+03
23:30.8,1.69E-06,1.36E+00,1.95E-02,5.37E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.48E+03
23:31.2,1.70E-06,1.37E+00,1.96E-02,5.39E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.49E+03
23:31.5,1.69E-06,1.38E+00,1.97E-02,5.40E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.50E+03
23:31.8,1.69E-06,1.38E+00,1.98E-02,5.41E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.51E+03
23:32.2,1.69E-06,1.40E+00,1.98E-02,5.45E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.52E+03
23:32.5,1.69E-06,1.41E+00,1.99E-02,5.46E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.53E+03
23:32.9,1.69E-06,1.42E+00,2.00E-02,5.48E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.54E+03
23:33.3,1.69E-06,1.42E+00,2.01E-02,5.49E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.55E+03
23:33.7,1.69E-06,1.43E+00,2.02E-02,5.50E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.56E+03
23:34.0,1.69E-06,1.44E+00,2.03E-02,5.52E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.57E+03
23:34.4,1.70E-06,1.46E+00,2.04E-02,5.55E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.58E+03
23:34.7,1.68E-06,1.46E+00,2.04E-02,5.56E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.59E+03
23:35.0,1.69E-06,1.47E+00,2.05E-02,5.59E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.60E+03
23:35.3,1.69E-06,1.50E+00,2.06E-02,5.62E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.61E+03
23:35.7,1.68E-06,1.49E+00,2.06E-02,5.61E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.62E+03
23:36.2,1.69E-06,1.51E+00,2.08E-02,5.65E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.63E+03
23:36.5,1.69E-06,1.52E+00,2.09E-02,5.67E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.64E+03
23:36.8,1.68E-06,1.51E+00,2.09E-02,5.65E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.65E+03
23:37.1,1.70E-06,1.54E+00,2.11E-02,5.71E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.66E+03
23:37.4,1.70E-06,1.55E+00,2.12E-02,5.72E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.67E+03
23:37.7,1.70E-06,1.57E+00,2.12E-02,5.76E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.68E+03
23:38.1,1.70E-06,1.57E+00,2.13E-02,5.76E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.69E+03
23:38.5,1.68E-06,1.57E+00,2.13E-02,5.76E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.70E+03
23:38.9,1.69E-06,1.60E+00,2.14E-02,5.80E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.71E+03
23:39.4,1.68E-06,1.59E+00,2.14E-02,5.79E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.72E+03
23:39.7,1.68E-06,1.59E+00,2.16E-02,5.79E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.73E+03
23:40.0,1.68E-06,1.61E+00,2.16E-02,5.82E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.74E+03
23:40.4,1.69E-06,1.63E+00,2.18E-02,5.85E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.75E+03
23:40.7,1.69E-06,1.65E+00,2.18E-02,5.87E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.76E+03
23:41.1,1.68E-06,1.65E+00,2.19E-02,5.87E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.77E+03
23:41.5,1.68E-06,1.64E+00,2.20E-02,5.87E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.78E+03
23:42.0,1.68E-06,1.66E+00,2.20E-02,5.90E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.79E+03
23:42.4,1.68E-06,1.67E+00,2.22E-02,5.90E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.80E+03
23:42.8,1.68E-06,1.68E+00,2.23E-02,5.92E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.81E+03
23:43.2,1.68E-06,1.67E+00,2.24E-02,5.91E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.82E+03
23:43.6,1.68E-06,1.68E+00,2.25E-02,5.93E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.83E+03
23:44.0,1.68E-06,1.69E+00,2.26E-02,5.95E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.84E+03
23:44.4,1.68E-06,1.71E+00,2.26E-02,5.97E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.85E+03
23:44.8,1.68E-06,1.72E+00,2.27E-02,5.99E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.86E+03
23:45.3,1.68E-06,1.72E+00,2.28E-02,5.98E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.87E+03
23:45.7,1.68E-06,1.73E+00,2.29E-02,6.00E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.88E+03
23:46.0,1.68E-06,1.74E+00,2.29E-02,6.01E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.89E+03
23:46.4,1.68E-06,1.76E+00,2.31E-02,6.03E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.90E+03
23:46.7,1.68E-06,1.76E+00,2.32E-02,6.04E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.91E+03
23:47.1,1.68E-06,1.76E+00,2.33E-02,6.04E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.92E+03
23:47.5,1.68E-06,1.78E+00,2.33E-02,6.07E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.93E+03
23:47.9,1.68E-06,1.79E+00,2.34E-02,6.08E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.94E+03
23:48.3,1.68E-06,1.80E+00,2.35E-02,6.10E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.95E+03
23:48.6,1.67E-06,1.79E+00,2.35E-02,6.08E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.96E+03
23:48.9,1.67E-06,1.81E+00,2.37E-02,6.11E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.97E+03
23:49.2,1.67E-06,1.81E+00,2.37E-02,6.11E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.98E+03
23:49.6,1.67E-06,1.82E+00,2.38E-02,6.12E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.99E+03
23:50.0,1.67E-06,1.84E+00,2.39E-02,6.15E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.00E+03
